"","type","sample"
"274815","astro","astro1"
"274845","astro","astro1"
"274859","astro","astro1"
"274861","astro","astro1"
"274877","astro","astro1"
"274949","astro","astro1"
"275013","astro","astro1"
"275017","astro","astro1"
"275019","astro","astro1"
"275027","astro","astro1"
"275029","astro","astro1"
"275031","astro","astro1"
"275049","astro","astro1"
"275061","astro","astro1"
"275095","astro","astro1"
"275099","astro","astro1"
"275103","astro","astro1"
"275109","astro","astro1"
"275111","astro","astro1"
"275115","astro","astro1"
"275117","astro","astro1"
"275123","astro","astro1"
"275125","astro","astro1"
"275127","astro","astro1"
"275131","astro","astro1"
"275139","astro","astro1"
"275141","astro","astro1"
"275155","astro","astro1"
"275157","astro","astro1"
"275175","astro","astro1"
"275189","astro","astro1"
"275203","astro","astro1"
"275205","astro","astro1"
"275207","astro","astro1"
"275221","astro","astro1"
"275253","astro","astro1"
"275293","astro","astro1"
"275295","astro","astro1"
"275407","astro","astro1"
"275459","astro","astro1"
"275473","astro","astro1"
"275475","astro","astro1"
"275497","astro","astro1"
"275589","astro","astro1"
"275591","astro","astro1"
"275609","astro","astro1"
"275625","astro","astro1"
"275671","astro","astro1"
"275771","astro","astro1"
"275797","astro","astro1"
"275809","astro","astro1"
"275811","astro","astro1"
"275911","astro","astro1"
"276265","astro","astro1"
"276311","astro","astro1"
"276389","astro","astro1"
"273213","astro","astro2"
"273243","astro","astro2"
"273245","astro","astro2"
"273253","astro","astro2"
"273337","astro","astro2"
"273355","astro","astro2"
"273375","astro","astro2"
"273385","astro","astro2"
"273387","astro","astro2"
"273395","astro","astro2"
"273433","astro","astro2"
"273459","astro","astro2"
"273487","astro","astro2"
"273509","astro","astro2"
"273521","astro","astro2"
"273525","astro","astro2"
"273527","astro","astro2"
"273543","astro","astro2"
"273557","astro","astro2"
"273627","astro","astro2"
"273659","astro","astro2"
"273671","astro","astro2"
"273681","astro","astro2"
"273699","astro","astro2"
"273701","astro","astro2"
"273703","astro","astro2"
"273705","astro","astro2"
"273733","astro","astro2"
"273773","astro","astro2"
"273801","astro","astro2"
"273809","astro","astro2"
"273827","astro","astro2"
"273867","astro","astro2"
"273869","astro","astro2"
"273971","astro","astro2"
"274055","astro","astro2"
